year,scenario,CDUID,pm25_1,pm25_2,no2_1,no2_2,o3_1,o3_2,summero3_1,summero3_2,co24h_1,co24h_2,co1h_1,co1h_2,so2_1,so2_2,bz_1,bz_2,bt_1,bt_2,ac_1,ac_2,fm_1,fm_2
2016,1,1210,1.8,3.64,0.15,3.24,26,35.6,28,33.89,0,0.1,0,0.12,0,0.15,0,0.09584097,0,0,0,0.69183168,0,0.59079686
2016,1,1211,1.8,3.34,0.15,2.9,26,36.6,28,34.95,0,0.1,0,0.12,0,0.15,0,0.092646271,0,0,0,0.70624484,0,0.556405359
2016,1,1212,1.8,3.77,0.15,3.41,26,35,28,33.6,0,0.1,0,0.12,0,0.15,0,0.086256873,0,0,0,0.67021194,0,0.577285913
2016,1,1213,1.8,3.18,0.15,2.23,26,36.4,28,35.08,0,0.1,0,0.12,0,0.15,0,0.073478077,0,0,0,0.632377395,0,0.483937553
2016,1,1214,1.8,3.17,0.15,2.65,26,36,28,34.21,0,0.1,0,0.12,0,0.15,0,0.076672776,0,0,0,0.64138562,0,0.523242125
2016,1,1215,1.8,3.27,0.15,2.1,26,36.6,28,34.83,0,0.1,0,0.12,0,0.15,0,0.06389398,0,0,0,0.599947785,0,0.449546051
2016,1,1216,1.8,3.39,0.15,1.38,26,37.4,28,35.95,0,0.1,0,0.12,0,0.15,0,0.070283378,0,0,0,0.59814614,0,0.412698014
2016,1,1217,1.8,4,0.15,2.9,26,37.1,28,35.66,0,0.1,0,0.12,0,0.15,0,0.070283378,0,0,0,0.585534625,0,0.431122033
2016,1,1218,1.8,3.03,0.15,1.96,26,36.6,28,35.15,0,0.1,0,0.12,0,0.15,0,0.060699281,0,0,0,0.58012969,0,0.424980693
2016,1,1301,1.8,4.6,0.15,4.18,26,36.6,28,34.75,0,0.1,0,0.12,0,0.15,0,0.162929649,0,0,0,0.75308761,0,0.578514181
2016,1,1302,1.8,3.82,0.15,2.7,26,36.5,28,35.07,0,0.1,0,0.12,0,0.15,0,0.118203863,0,0,0,0.75308761,0,0.583427253
2016,1,1303,1.8,4.03,0.15,2.87,26,35.6,28,34.2,0,0.1,0,0.12,0,0.15,0,0.108619766,0,0,0,0.729666225,0,0.606764343
2016,1,1304,1.8,3.7,0.15,2.63,26,35.4,28,33.94,0,0.1,0,0.12,0,0.15,0,0.102230368,0,0,0,0.711649775,0,0.568688038
2016,1,1305,1.8,3.72,0.15,2.84,26,36.1,28,34.58,0,0.1,0,0.12,0,0.15,0,0.115009164,0,0,0,0.726062935,0,0.589568592
2016,1,1306,1.8,3.59,0.15,3.17,26,36.2,28,34.18,0,0.1,0,0.12,0,0.15,0,0.102230368,0,0,0,0.704443195,0,0.563774966
2016,1,1307,1.8,3.7,0.15,3.68,26,35.7,28,34.09,0,0.1,0,0.12,0,0.15,0,0.118203863,0,0,0,0.70264155,0,0.571144574
